Municipios;Distritos;Secciones;Índice de Gini y Distribución de la renta P80/P20;Periodo;Total
28004 Álamo, El;;;Distribución de la renta P80/P20;2019;2,8
28004 Álamo, El;;;Distribución de la renta P80/P20;2018;3
28004 Álamo, El;;;Distribución de la renta P80/P20;2017;3,2
28004 Álamo, El;;;Distribución de la renta P80/P20;2016;3,6
28004 Álamo, El;;;Distribución de la renta P80/P20;2015;3,5
28004 Álamo, El;2800401 Álamo, El distrito 01;;Índice de Gini;2023;30,1
28004 Álamo, El;2800401 Álamo, El distrito 01;;Índice de Gini;2022;31,4
28004 Álamo, El;2800401 Álamo, El distrito 01;;Índice de Gini;2021;31,1
28004 Álamo, El;2800401 Álamo, El distrito 01;;Índice de Gini;2020;32,2
28004 Álamo, El;2800401 Álamo, El distrito 01;;Índice de Gini;2019;32
28004 Álamo, El;2800401 Álamo, El distrito 01;;Índice de Gini;2018;32,7
28004 Álamo, El;2800401 Álamo, El distrito 01;;Índice de Gini;2017;33,7
28004 Álamo, El;2800401 Álamo, El distrito 01;;Índice de Gini;2016;34,7
28004 Álamo, El;2800401 Álamo, El distrito 01;;Índice de Gini;2015;35,1
28004 Álamo, El;2800401 Álamo, El distrito 01;;Distribución de la renta P80/P20;2023;2,7
28004 Álamo, El;2800401 Álamo, El distrito 01;;Distribución de la renta P80/P20;2022;2,9
28004 Álamo, El;2800401 Álamo, El distrito 01;;Distribución de la renta P80/P20;2021;2,8
28004 Álamo, El;2800401 Álamo, El distrito 01;;Distribución de la renta P80/P20;2020;2,8
28004 Álamo, El;2800401 Álamo, El distrito 01;;Distribución de la renta P80/P20;2019;2,8
28004 Álamo, El;2800401 Álamo, El distrito 01;;Distribución de la renta P80/P20;2018;3
28004 Álamo, El;2800401 Álamo, El distrito 01;;Distribución de la renta P80/P20;2017;3,2
28004 Álamo, El;2800401 Álamo, El distrito 01;;Distribución de la renta P80/P20;2016;3,6
28004 Álamo, El;2800401 Álamo, El distrito 01;;Distribución de la renta P80/P20;2015;3,5
28004 Álamo, El;2800401 Álamo, El distrito 01;2800401001 Álamo, El sección 01001;Índice de Gini;2023;30,5
28004 Álamo, El;2800401 Álamo, El distrito 01;2800401001 Álamo, El sección 01001;Índice de Gini;2022;31,9
28004 Álamo, El;2800401 Álamo, El distrito 01;2800401001 Álamo, El sección 01001;Índice de Gini;2021;31
